plant_id,plant_name,category,Type,light_requirement,water_frequency,temp_min,temp_max,maintenance_level,growth_rate,price,stock_quantity,expert_score
1,Ficus pumilo (bag),outdoor,Creeper,medium,2days,2,45,low,medium,100,100,10
2,"Golden Shower plant 12""",outdoor,Creeper,medium,3days,5,45,medum,medium,1200,5,10
3,Virginia creeper,outdoor,Creeper,medium,3days,5,45,medum,medium,500,5,10
4,Orange flower creeper,outdoor,Creeper,medium,3days,5,45,medum,medium,1200,5,10
5,Rose/gulab (bag),outdoor,Creeper,high,3days,2,45,medum,medium,150,100,9
6,Rose/gulab 12 inch pot,outdoor,Creeper,high,3days,2,45,medum,medium,800,100,9
7,Lantana creeper,outdoor,Creeper,high,3days,2,45,medum,medium,150,100,9
8,Ficus pumilo pot creeper,outdoor,Creeper,medium,3days,2,45,medum,medium,250,100,9
9,Jasmine grandiflora creeper,outdoor,Creeper,high,3days,2,45,medum,medium,150,100,9
10,Yucca large,outdoor & indoor,Desert plant,medium,7days,8,50,low,low,2500,20,10
11,Yucca small (6inch),outdoor & indoor,Desert plant,medium,7days,8,50,low,low,300,20,10
12,Amaryllis lily flower large,outdoor,flowers,medium,3days,2,40,low,medium,300,30,9
13,Amaryllis lily flower small,outdoor,flowers,medium,3days,2,40,low,medium,200,30,9
14,Diathus/carnation flower,outdoor,Flowers,high,2days,8,45,medum,medium,50,100,10
15,Celocia mix color,outdoor,Flowers,high,2days,8,45,medum,medium,100,100,10
16,Pansy,outdoor,Flowers,high,2days,8,45,medum,medium,50,100,10
17,Petunia,outdoor,Flowers,high,2days,8,45,medum,medium,50,100,10
18,Ranancolus,outdoor,Flowers,high,2days,8,45,medum,medium,250,100,10
19,Gazania,outdoor,Flowers,high,2days,8,45,medum,medium,60,100,10
20,vinca,outdoor,Flowers,high,2days,8,45,medum,medium,80,100,10
21,Rubinia/keekar (3-5 feet),outdoor,Forest,high,7days,5,45,low,medium,30,100,10
22,Rubinia/keekar (3-5 feet),outdoor,Forest,high,7days,5,45,low,medium,30,100,10
